GKZ,Gebietsname,"Wahl-
berechtigte",Stimmen,Unnamed: 4,Unnamed: 5,Dr. Michael Brunner,%,Gerald Grosz,%.1,Dr. Walter Rosenkranz,%.2,Heinrich Staudinger,%.3,Dr. Alexander Van der Bellen,%.4,Dr. Tassilo Wallentin,%.5,Dr. Dominik Wlazny,%.6
,,,Abgegeb.,Ungültige,Gültige,,,,,,,,,,,,,,
G00000,Österreich,6363336.0,4148082,91353,4056729,85465.0,2.106746593129588,225942.0,5.569561092200145,717097.0,17.676729207201173,64411.0,1.5877570328212705,2299590.0,56.68581756385501,327214.0,8.065956587191305,337010.0,8.307431923601502
G10000,Burgenland,233412.0,164521,5411,159110,2716.0,1.7069951605807303,9999.0,6.2843315944943745,27395.0,17.217648167934133,1586.0,0.9967946703538433,84279.0,52.96901514675382,18419.0,11.576267990698259,14716.0,9.248947269184841
G10099,Wahlkarten - Burgenland,0.0,19505,395,19110,301.0,1.575091575091575,915.0,4.78806907378336,2353.0,12.312925170068027,214.0,1.119832548403977,11671.0,61.0727367870225,1786.0,9.34589220303506,1870.0,9.7854526425955
G10100,Eisenstadt Stadt,11101.0,7657,173,7484,118.0,1.5766969535008015,380.0,5.077498663816141,911.0,12.172634954569748,74.0,0.9887760555852485,4517.0,60.35542490646713,658.0,8.792089791555318,826.0,11.036878674505612
G10101,Eisenstadt,11101.0,6490,153,6337,101.0,1.593814107621903,345.0,5.444216506233233,807.0,12.734732523276,57.0,0.8994792488559256,3739.0,59.00268265740887,574.0,9.057913839356162,714.0,11.267161117247909
G10199,Wahlkarten - Eisenstadt Stadt,0.0,1167,20,1147,17.0,1.4821272885789014,35.0,3.051438535309503,104.0,9.06713164777681,17.0,1.4821272885789014,778.0,67.82911944202267,84.0,7.323452484742806,112.0,9.76460331299041
G10200,Rust Stadt,1605.0,1161,50,1111,16.0,1.4401440144014401,90.0,8.1008100810081,134.0,12.061206120612061,23.0,2.07020702070207,613.0,55.17551755175517,123.0,11.071107110711072,112.0,10.081008100810081
G10201,Rust,1605.0,979,40,939,14.0,1.4909478168264112,79.0,8.413205537806178,118.0,12.566560170394037,17.0,1.810436634717785,508.0,54.10010649627262,105.0,11.182108626198083,98.0,10.436634717784878
G10299,Wahlkarten - Rust Stadt,0.0,182,10,172,2.0,1.1627906976744187,11.0,6.395348837209303,16.0,9.30232558139535,6.0,3.488372093023256,105.0,61.04651162790697,18.0,10.465116279069768,14.0,8.13953488372093
G10300,Eisenstadt - Umgebung,34679.0,25331,822,24509,370.0,1.5096495165041413,1578.0,6.438451181198743,3656.0,14.916969276592273,251.0,1.0241135909257824,13595.0,55.46941939695622,2663.0,10.865396385001429,2396.0,9.776000652821413
G10301,Breitenbrunn am Neusiedler See,1576.0,1064,36,1028,17.0,1.6536964980544748,62.0,6.031128404669261,158.0,15.369649805447471,14.0,1.3618677042801557,573.0,55.739299610894946,92.0,8.949416342412452,112.0,10.894941634241246
G10302,Donnerskirchen,1510.0,949,27,922,8.0,0.8676789587852495,57.0,6.182212581344902,166.0,18.004338394793926,6.0,0.6507592190889371,465.0,50.43383947939263,120.0,13.015184381778742,100.0,10.84598698481562
G10303,Großhöflein,1658.0,1088,52,1036,19.0,1.833976833976834,84.0,8.108108108108109,158.0,15.250965250965251,14.0,1.3513513513513513,551.0,53.18532818532818,115.0,11.1003861003861,95.0,9.16988416988417
G10304,Hornstein,2427.0,1488,29,1459,23.0,1.5764222069910898,85.0,5.825908156271418,235.0,16.106922549691568,17.0,1.1651816312542838,821.0,56.27141877998629,159.0,10.89787525702536,119.0,8.156271418779987
G10305,Klingenbach,866.0,584,22,562,10.0,1.7793594306049825,21.0,3.7366548042704624,106.0,18.86120996441281,3.0,0.5338078291814947,323.0,57.47330960854092,51.0,9.07473309608541,48.0,8.540925266903916
G10306,Leithaprodersdorf,981.0,696,17,679,8.0,1.1782032400589102,37.0,5.44918998527246,69.0,10.1620029455081,7.0,1.0309278350515463,432.0,63.62297496318114,58.0,8.541973490427099,68.0,10.014727540500736
G10307,Mörbisch am See,1801.0,1143,40,1103,20.0,1.813236627379873,78.0,7.071622846781506,189.0,17.1350861287398,15.0,1.3599274705349047,580.0,52.58386219401632,122.0,11.060743427017226,99.0,8.975521305530371
G10308,Müllendorf,1135.0,729,19,710,10.0,1.4084507042253522,47.0,6.619718309859154,106.0,14.929577464788732,7.0,0.9859154929577465,386.0,54.3661971830986,78.0,10.985915492957748,76.0,10.704225352112676
G10309,Neufeld an der Leitha,2741.0,1771,37,1734,17.0,0.9803921568627451,131.0,7.554786620530566,288.0,16.608996539792386,20.0,1.1534025374855825,871.0,50.23068050749712,210.0,12.110726643598616,197.0,11.361014994232988
G10310,Oggau am Neusiedler See,1435.0,1006,57,949,12.0,1.2644889357218125,75.0,7.903055848261328,150.0,15.806111696522656,9.0,0.9483667017913594,504.0,53.10853530031612,109.0,11.485774499473129,90.0,9.483667017913593
G10311,Oslip,1074.0,750,22,728,15.0,2.0604395604395602,48.0,6.593406593406594,90.0,12.362637362637363,6.0,0.8241758241758242,435.0,59.75274725274725,67.0,9.203296703296704,67.0,9.203296703296704
G10312,Purbach am Neusiedler See,2386.0,1365,45,1320,12.0,0.9090909090909091,98.0,7.424242424242425,225.0,17.045454545454543,8.0,0.6060606060606061,716.0,54.24242424242425,156.0,11.818181818181818,105.0,7.954545454545454
G10313,Sankt Margarethen im Burgenland,2293.0,1450,48,1402,24.0,1.7118402282453637,87.0,6.205420827389443,231.0,16.476462196861625,16.0,1.1412268188302426,760.0,54.20827389443652,147.0,10.485021398002853,137.0,9.771754636233952
G10314,Schützen am Gebirge,1128.0,739,47,692,11.0,1.5895953757225432,34.0,4.913294797687861,97.0,14.017341040462428,5.0,0.7225433526011561,382.0,55.202312138728324,85.0,12.283236994219653,78.0,11.271676300578035
G10315,Siegendorf,2325.0,1473,49,1424,22.0,1.544943820224719,86.0,6.03932584269663,209.0,14.676966292134832,11.0,0.7724719101123595,808.0,56.74157303370787,133.0,9.339887640449438,155.0,10.884831460674157
G10316,Steinbrunn,2278.0,1434,47,1387,30.0,2.1629416005767843,111.0,8.002883922134101,185.0,13.338139870223504,13.0,0.9372746935832732,747.0,53.857245854361935,154.0,11.103100216294159,147.0,10.598413842826243
G10317,Trausdorf an der Wulka,1673.0,1072,38,1034,15.0,1.4506769825918762,53.0,5.1257253384912955,145.0,14.02321083172147,4.0,0.3868471953578337,614.0,59.381044487427474,99.0,9.574468085106384,104.0,10.058027079303674
G10318,Wimpassing an der Leitha,1243.0,778,17,761,17.0,2.2339027595269383,73.0,9.592641261498029,168.0,22.07621550591327,7.0,0.9198423127463863,328.0,43.1011826544021,90.0,11.826544021024969,78.0,10.249671484888305
G10319,Wulkaprodersdorf,1449.0,899,32,867,7.0,0.8073817762399077,47.0,5.4209919261822375,90.0,10.380622837370241,8.0,0.922722029988466,515.0,59.40023068050749,118.0,13.610149942329874,82.0,9.457900807381776
G10320,Loretto,427.0,283,10,273,7.0,2.564102564102564,21.0,7.6923076923076925,53.0,19.413919413919416,3.0,1.098901098901099,130.0,47.61904761904761,43.0,15.75091575091575,16.0,5.86080586080586
G10321,Stotzing,627.0,419,19,400,2.0,0.5,31.0,7.75,55.0,13.750000000000002,7.0,1.7500000000000002,219.0,54.75,59.0,14.75,27.0,6.75
