GKZ,Gebietsname,Wahlbe-rechtigte,Stimmen,Unnamed: 4,Unnamed: 5,ÖVP,%,SPÖ,%.1,FPÖ,%.2,NEOS,%.3,JETZT,%.4,GRÜNE,%.5,KPÖ,%.6,WANDL,%.7,BZÖ,%.8,BIER,%.9,CPÖ,%.10,GILT,%.11,SLP,%.12
,,,Abgegeb.,Ungültige,Gültige,,,,,,,,,,,,,,,,,,,,,,,,,,
G00000,Österreich,6396812.0,4835469,58223,4777246,1789417.0,37.45708301393732,1011868.0,21.180990051590392,772666.0,16.17387926014277,387124.0,8.103497286930587,89169.0,1.8665356567361193,664055.0,13.900372725206111,32736.0,0.6852483627596319,22168.0,0.4640330433057037,760.0,0.01590874742477151,4946.0,0.1035324536354209,260.0,0.005442466224263938,1767.0,0.03698783776259376,310.0,0.006489094344314696
G10000,Burgenland,233182.0,189911,2850,187061,71566.0,38.25810831760762,54965.0,29.383463148384752,32448.0,17.346213267329908,9130.0,4.880760821336356,2351.0,1.2568092761184855,15113.0,8.07918272649029,739.0,0.3950582964915188,489.0,0.26141205275284535,,0.0,,0.0,260.0,0.13899209348822042,,0.0,,0.0
G10099,Wahlkarten - Burgenland (ungültig nicht zuordenbar),0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G1A000,Burgenland Nord,123715.0,100813,1539,99274,37009.0,37.279650260894094,28872.0,29.083143622700806,16466.0,16.58641739025324,5590.0,5.630880190180712,1396.0,1.4062090779055947,9084.0,9.15043213731692,411.0,0.4140056812458448,292.0,0.2941354231722304,,0.0,,0.0,154.0,0.15512621633055987,,0.0,,0.0
G1A099,Wahlkarten - Burgenland Nord,0.0,359,1,358,86.0,24.022346368715084,58.0,16.201117318435752,57.0,15.921787709497206,44.0,12.290502793296088,14.0,3.910614525139665,87.0,24.30167597765363,7.0,1.9553072625698324,4.0,1.1173184357541899,,0.0,,0.0,1.0,0.27932960893854747,,0.0,,0.0
G1B000,Burgenland Süd,109467.0,89097,1310,87787,34557.0,39.3645984029526,26093.0,29.723079727066647,15982.0,18.20542904985932,3540.0,4.032487725973094,955.0,1.0878603893514984,6029.0,6.867759463246266,328.0,0.37363163110711156,197.0,0.22440680282957612,,0.0,,0.0,106.0,0.12074680761388361,,0.0,,0.0
G1B099,Wahlkarten - Burgenland Süd,0.0,359,5,354,86.0,24.293785310734464,56.0,15.819209039548024,59.0,16.666666666666664,39.0,11.016949152542372,12.0,3.389830508474576,98.0,27.683615819209038,1.0,0.2824858757062147,2.0,0.5649717514124294,,0.0,,0.0,1.0,0.2824858757062147,,0.0,,0.0
G10100,Eisenstadt Stadt,10798.0,8574,89,8485,3523.0,41.52032999410725,1685.0,19.858573954036533,1162.0,13.69475545079552,654.0,7.707719505008839,142.0,1.673541543901002,1220.0,14.37831467295227,39.0,0.4596346493812611,39.0,0.4596346493812611,,0.0,,0.0,21.0,0.24749558043606362,,0.0,,0.0
G10101,Eisenstadt,10798.0,7192,78,7114,2966.0,41.69243744728704,1450.0,20.38234467247681,1023.0,14.380095586168117,535.0,7.520382344672477,120.0,1.686814731515322,944.0,13.269609221253868,28.0,0.3935901040202418,27.0,0.3795333145909474,,0.0,,0.0,21.0,0.29519257801518134,,0.0,,0.0
G10199,Wahlkarten - Eisenstadt Stadt,0.0,1382,11,1371,557.0,40.62727935813275,235.0,17.14077315827863,139.0,10.13858497447119,119.0,8.679795769511307,22.0,1.604668125455872,276.0,20.13129102844639,11.0,0.802334062727936,12.0,0.87527352297593,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10200,Rust Stadt,1594.0,1276,21,1255,424.0,33.78486055776892,389.0,30.996015936254977,239.0,19.04382470119522,69.0,5.49800796812749,15.0,1.1952191235059761,106.0,8.44621513944223,5.0,0.398406374501992,5.0,0.398406374501992,,0.0,,0.0,3.0,0.2390438247011952,,0.0,,0.0
G10201,Rust,1594.0,1055,18,1037,355.0,34.23336547733848,315.0,30.37608486017358,209.0,20.154291224686595,52.0,5.014464802314368,12.0,1.1571841851494697,82.0,7.907425265188042,5.0,0.4821600771456124,4.0,0.3857280617164899,,0.0,,0.0,3.0,0.28929604628736744,,0.0,,0.0
G10299,Wahlkarten - Rust Stadt,0.0,221,3,218,69.0,31.65137614678899,74.0,33.94495412844037,30.0,13.761467889908257,17.0,7.79816513761468,3.0,1.3761467889908259,24.0,11.009174311926607,0.0,0.0,1.0,0.45871559633027525,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10300,Eisenstadt - Umgebung,34307.0,28264,448,27816,10317.0,37.09016393442623,8572.0,30.81679608858211,4327.0,15.555795225769343,1482.0,5.327868852459016,410.0,1.4739718147828589,2478.0,8.908541846419327,114.0,0.4098360655737705,82.0,0.29479436295657174,,0.0,,0.0,34.0,0.12223180903077366,,0.0,,0.0
G10301,Breitenbrunn am Neusiedler See,1582.0,1137,27,1110,376.0,33.87387387387387,331.0,29.81981981981982,149.0,13.423423423423422,77.0,6.936936936936937,38.0,3.423423423423423,132.0,11.891891891891893,5.0,0.45045045045045046,2.0,0.18018018018018017,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10302,Donnerskirchen,1535.0,1076,17,1059,470.0,44.38149197355996,242.0,22.851746931067044,200.0,18.885741265344667,60.0,5.6657223796034,13.0,1.2275731822474032,67.0,6.326723323890462,6.0,0.56657223796034,1.0,0.09442870632672333,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10303,Großhöflein,1676.0,1164,25,1139,487.0,42.756804214223,271.0,23.7928007023705,183.0,16.066725197541704,67.0,5.88235294117647,7.0,0.6145741878841089,115.0,10.09657594381036,4.0,0.35118525021949076,5.0,0.4389815627743635,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10304,Hornstein,2397.0,1647,34,1613,515.0,31.928084314941103,538.0,33.3539987600744,267.0,16.553006819590824,89.0,5.517668939863609,30.0,1.8598884066955983,151.0,9.361438313701177,13.0,0.805951642901426,8.0,0.49597024178549287,,0.0,,0.0,2.0,0.12399256044637322,,0.0,,0.0
G10305,Klingenbach,870.0,635,9,626,202.0,32.26837060702875,279.0,44.56869009584665,86.0,13.738019169329075,12.0,1.9169329073482428,8.0,1.2779552715654952,30.0,4.792332268370607,2.0,0.3194888178913738,7.0,1.1182108626198082,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10306,Leithaprodersdorf,965.0,710,11,699,396.0,56.65236051502146,115.0,16.452074391988557,87.0,12.446351931330472,46.0,6.580829756795422,12.0,1.7167381974248928,39.0,5.579399141630901,0.0,0.0,3.0,0.4291845493562232,,0.0,,0.0,1.0,0.14306151645207438,,0.0,,0.0
G10307,Mörbisch am See,1821.0,1347,21,1326,450.0,33.93665158371041,449.0,33.86123680241327,262.0,19.75867269984917,48.0,3.619909502262444,14.0,1.0558069381598794,92.0,6.93815987933635,2.0,0.1508295625942685,5.0,0.3770739064856712,,0.0,,0.0,4.0,0.301659125188537,,0.0,,0.0
G10308,Müllendorf,1146.0,868,16,852,328.0,38.497652582159624,273.0,32.04225352112676,108.0,12.676056338028168,42.0,4.929577464788732,22.0,2.5821596244131455,68.0,7.981220657276995,2.0,0.2347417840375587,7.0,0.8215962441314555,,0.0,,0.0,2.0,0.2347417840375587,,0.0,,0.0
G10309,Neufeld an der Leitha,2642.0,1868,28,1840,525.0,28.532608695652172,610.0,33.15217391304348,343.0,18.641304347826086,121.0,6.576086956521738,27.0,1.4673913043478262,191.0,10.380434782608695,15.0,0.8152173913043478,8.0,0.43478260869565216,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10310,Oggau am Neusiedler See,1471.0,1149,25,1124,420.0,37.36654804270463,396.0,35.231316725978644,164.0,14.590747330960854,50.0,4.448398576512456,10.0,0.8896797153024912,73.0,6.494661921708185,4.0,0.3558718861209964,1.0,0.0889679715302491,,0.0,,0.0,6.0,0.5338078291814947,,0.0,,0.0
G10311,Oslip,1021.0,751,14,737,261.0,35.41383989145183,268.0,36.36363636363637,90.0,12.211668928086839,28.0,3.7991858887381276,13.0,1.7639077340569878,72.0,9.76933514246947,2.0,0.27137042062415195,2.0,0.27137042062415195,,0.0,,0.0,1.0,0.13568521031207598,,0.0,,0.0
G10312,Purbach am Neusiedler See,2387.0,1597,25,1572,680.0,43.25699745547074,364.0,23.155216284987276,283.0,18.00254452926209,90.0,5.7251908396946565,16.0,1.0178117048346056,127.0,8.078880407124682,3.0,0.19083969465648853,5.0,0.3180661577608142,,0.0,,0.0,4.0,0.2544529262086514,,0.0,,0.0
G10313,Sankt Margarethen im Burgenland,2298.0,1666,26,1640,714.0,43.53658536585366,375.0,22.865853658536587,303.0,18.475609756097562,72.0,4.390243902439024,28.0,1.707317073170732,140.0,8.536585365853659,5.0,0.3048780487804878,1.0,0.06097560975609756,,0.0,,0.0,2.0,0.12195121951219512,,0.0,,0.0
