GKZ,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,ÖVP,%,SPÖ,%.1,FPÖ,%.2,GRÜNE,%.3,NEOS,%.4,BIER,%.5,MFG,%.6,BGE,%.7,LMP,%.8,GAZA,%.9,KPÖ,%.10,KEINE,%.11
G00000,Österreich,6346059,4929745,46857,4882888,1282734,26.26,1032233,21.13,1408512,28.84,402109,8.23,446379,9.14,98395,2.01,19785.0,0.4,156.0,0.0,28488,0.58,19376.0,0.39,116891,2.39,27830,0.56
G10000,Burgenland,233738,192899,2800,190099,54287,28.55,51374,27.02,54718,28.78,8926,4.69,12300,6.47,3817,2.0,,0.0,156.0,0.08,858,0.45,344.0,0.18,2425,1.27,894,0.47
G10099,Wahlkarten - Burgenland,0,41,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0
G1A000,Burgenland Nord,124968,103415,1389,102026,28008,27.45,27565,27.01,28837,28.26,5280,5.17,7434,7.28,2212,2.16,,0.0,40.0,0.03,479,0.46,292.0,0.28,1366,1.33,513,0.5
G1A099,Wahlkarten - Burgenland Nord,0,303,2,301,49,16.27,71,23.58,66,21.92,49,16.27,46,15.28,6,1.99,,0.0,0.0,0.0,0,0.0,1.0,0.33,9,2.99,4,1.32
G1B000,Burgenland Süd,108770,89443,1370,88073,26279,29.83,23809,27.03,25881,29.38,3646,4.13,4866,5.52,1605,1.82,,0.0,116.0,0.13,379,0.43,52.0,0.05,1059,1.2,381,0.43
G1B099,Wahlkarten - Burgenland Süd,0,293,3,290,44,15.17,72,24.82,74,25.51,47,16.2,28,9.65,8,2.75,,0.0,0.0,0.0,5,1.72,1.0,0.34,11,3.79,0,0.0
G10100,Eisenstadt Stadt,11216,8903,82,8821,2885,32.7,1916,21.72,2001,22.68,742,8.41,784,8.88,214,2.42,,0.0,6.0,0.06,54,0.61,25.0,0.28,155,1.75,39,0.44
G10101,Eisenstadt,11216,8722,82,8640,2842,32.89,1864,21.57,1980,22.91,724,8.37,755,8.73,208,2.4,,0.0,5.0,0.05,53,0.61,22.0,0.25,149,1.72,38,0.43
G10199,Wahlkarten - Eisenstadt Stadt,0,181,0,181,43,23.75,52,28.72,21,11.6,18,9.94,29,16.02,6,3.31,,0.0,1.0,0.55,1,0.55,3.0,1.65,6,3.31,1,0.55
